serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
7536,1,EA,EA,0.4134631176665425,20290.0,large: 10000+,0.8070073797106073,0.6929102540016174,0.07827209681272507,1.6466225385665894,0.021608997891512972,0.026771869510412216,0.009940658695995808,0.054449230432510376
7537,1,EA,EA,0.4475777946710587,17750.0,large: 10000+,0.8070073797106073,0.762494683265686,0.08819559961557388,1.828094720840454,0.021608997891512972,0.03041093982756138,0.012546922080218792,0.059875987470149994
7540,1,CAS,Lagoon,0.5487404428273439,19920.0,large: 10000+,0.46002504380856235,0.32684382796287537,0.06096764653921127,0.8120539784431458,0.021608997891512972,0.06685428321361542,0.0320647656917572,0.10713592171669006
7589,1,CAS,CAS,0.8530563151240349,234600.0,large: 10000+,0.46002504380856235,0.4798947274684906,0.040573786944150925,1.8968268632888794,0.021608997891512972,0.02300160937011242,0.004094977863132954,0.07488726824522018
7627,1,EA,EA,0.4274509776085615,16370.0,large: 10000+,0.8070073797106073,0.6011881828308105,0.06510774046182632,1.4754648208618164,0.021608997891512972,0.03783741593360901,0.015211829915642738,0.06924248486757278
7678,1,EA,EA,0.3544391805753112,11970.0,large: 10000+,0.8070073797106073,0.6416481733322144,0.08904293179512024,1.5069395303726196,0.021608997891512972,0.0426107756793499,0.019692767411470413,0.0724341943860054
7742,1,Lagoon,Lagoon,0.8205935679376125,11126.0,large: 10000+,0.06996540113766683,0.17744961380958557,0.03476758673787117,0.4001316428184509,0.102,0.08918260782957077,0.04015589877963066,0.13921089470386505
7782,1,MLE,Lagoon,0.8895771406292915,10990.0,large: 10000+,0.35860250301640345,0.13396355509757996,0.026226896792650223,0.2675335109233856,0.023514902363823247,0.09470006823539734,0.041142240166664124,0.1490630954504013
8085,1,Pond,Pond,0.8109798875153065,110825.0,large: 10000+,0.06996540113766683,0.1472618281841278,0.02578483149409294,0.4183875024318695,0.102,0.08976254612207413,0.04024961218237877,0.14224059879779816
8275,1,Lagoon,Pond,0.5568290046453476,53609.5,large: 10000+,0.06996540113766683,0.26207029819488525,0.06235087290406227,0.7365502119064331,0.102,0.07353151589632034,0.03647066280245781,0.1162646934390068
8278,1,CAS,Lagoon,0.8752062649130822,18000.0,large: 10000+,0.46002504380856235,0.1339949518442154,0.02441387064754963,0.28550800681114197,0.021608997891512972,0.09335298091173172,0.040462929755449295,0.14665475487709045
8293,1,Lagoon,Lagoon,0.8419225068688393,22730.0,large: 10000+,0.06996540113766683,0.16985134780406952,0.038298554718494415,0.3866909444332123,0.102,0.09010038524866104,0.04033810272812843,0.14172595739364624
8343,1,EA,Lagoon,0.3776243260353804,59120.0,large: 10000+,0.8070073797106073,0.3992762565612793,0.07267751544713974,1.0597002506256104,0.021608997891512972,0.05509897321462631,0.026986628770828247,0.08949887007474899
8371,1,Lagoon,Lagoon,0.8205519377887249,29225.0,large: 10000+,0.06996540113766683,0.16601362824440002,0.03208869695663452,0.3772239685058594,0.102,0.08942676335573196,0.04053889587521553,0.13937769830226898
8383,1,Lagoon,Lagoon,0.5066316345259547,46065.0,large: 10000+,0.06996540113766683,0.31525203585624695,0.06441667675971985,0.8239970207214355,0.102,0.06499100476503372,0.02999049983918667,0.10536119341850281
8389,1,Lagoon,Lagoon,0.2717476801536977,75525.0,large: 10000+,0.06996540113766683,0.46774300932884216,0.07088813930749893,1.1411007642745972,0.102,0.044292937964200974,0.01992231421172619,0.07575991749763489
8424,1,Lagoon,Lagoon,0.688083936676383,66830.0,large: 10000+,0.06996540113766683,0.23185573518276215,0.05266192927956581,0.568489134311676,0.102,0.07846005260944366,0.03686564043164253,0.12492750585079193
8436,1,Lagoon,Lagoon,0.8831101513504982,20240.0,large: 10000+,0.06996540113766683,0.13365642726421356,0.025857700034976006,0.2728184461593628,0.102,0.09368256479501724,0.04167015105485916,0.14682769775390625
8478,1,BNR,Lagoon,0.4768538074940443,25000.0,large: 10000+,0.6015299626676763,0.3412584364414215,0.06308262795209885,1.0881277322769165,0.017852082981753833,0.0608225092291832,0.02575349062681198,0.10380011796951294
9385,1,A2O,CAS,0.3345617021135986,1992500.0,large: 10000+,0.7608954837154249,0.6182134747505188,0.09349758923053741,1.6655646562576294,0.021417300864190157,0.024874763563275337,0.00693586515262723,0.05731063336133957
9404,1,SBR,SBR,0.3238700159266591,12500.0,large: 10000+,1.8718395132955983,0.8578932881355286,0.14402812719345093,2.268211841583252,0.016693715234024208,0.023278851062059402,0.008981414139270782,0.0414309948682785
9416,1,OD,OD,0.2853449611291289,416000.0,large: 10000+,0.1650154106879044,0.6433987021446228,0.12150810658931732,1.5514726638793945,0.02294083003071408,0.02403169311583042,0.008185885846614838,0.05052966997027397
9419,1,AO,OD,0.2858397824466228,92000.0,large: 10000+,0.45442625910922374,0.6871954798698425,0.12399494647979736,1.6634926795959473,0.0169423506541553,0.023455167189240456,0.008719396777451038,0.048169221729040146
9450,1,AO,A2O,0.3928622072748839,1790500.0,large: 10000+,0.45442625910922374,0.6397802829742432,0.0884324312210083,1.7509171962738037,0.0169423506541553,0.02103135921061039,0.00555545324459672,0.0529937818646431
9451,1,AO,A2O,0.3148968511223793,480000.0,large: 10000+,0.45442625910922374,0.6726886034011841,0.10706944018602371,1.6927787065505981,0.0169423506541553,0.02092798613011837,0.006234920583665371,0.04814676195383072
